date,portfolio_value,benchmark_value,daily_return
2024-07-08,13655.3805,13390.5474,-0.003412
2024-07-09,13761.7571,13443.1877,0.00779
2024-07-10,13773.5515,13421.0669,0.000857
2024-07-11,13884.2999,13488.2679,0.008041
2024-07-12,13821.2351,13490.5077,-0.004542
2024-07-15,13837.6224,13508.4277,0.001186
2024-07-16,13663.1397,13368.1467,-0.012609
2024-07-17,13578.274,13291.1456,-0.006211
2024-07-18,13466.8304,13206.3056,-0.008207
2024-07-19,13566.3375,13269.8654,0.007389
2024-07-22,13644.2604,13394.4674,0.005744
2024-07-23,13423.2348,13165.4253,-0.016199
2024-07-24,13376.1159,13097.3848,-0.00351
2024-07-25,13441.8614,13121.1847,0.004915
2024-07-26,13401.8416,13149.1845,-0.002977
2024-07-29,13433.3444,13154.7847,0.002351
2024-07-30,13603.0942,13352.4666,0.012636
2024-07-31,13373.4651,13214.1457,-0.016881
2024-08-01,12830.4216,12698.6617,-0.040606
2024-08-02,12512.2974,12408.8594,-0.024795
2024-08-05,12617.4383,12506.0202,0.008403
2024-08-06,12787.9574,12693.901,0.013515
2024-08-07,12887.7169,12690.2609,0.007801
2024-08-08,12956.3715,12740.6614,0.005327
2024-08-09,12942.5186,12763.6218,-0.001069
2024-08-12,13082.4798,12890.1827,0.010814
2024-08-13,13095.5835,12922.9431,0.001002
2024-08-14,13334.5283,13148.6248,0.018246
2024-08-15,13369.9139,13167.3854,0.002654
2024-08-16,13442.509,13201.545,0.00543
2024-08-19,13403.6203,13174.3848,-0.002893
2024-08-20,13442.3801,13185.865,0.002892
2024-08-21,13396.1178,13208.8254,-0.003442
2024-08-22,13496.4716,13211.3451,0.007491
2024-08-23,13460.244,13206.3056,-0.002684
2024-08-26,13475.3934,13214.4255,0.001125
2024-08-27,13418.9411,13211.9058,-0.004189
2024-08-28,13580.2198,13361.9868,0.012019
2024-08-29,13613.8231,13318.5868,0.002474
2024-08-30,13652.3491,13398.1065,0.00283
2024-09-02,13406.8319,13269.3057,-0.017984
2024-09-03,13332.8908,13108.5851,-0.005515
2024-09-04,13298.3488,13024.5836,-0.002591
2024-09-05,13034.2999,12847.3424,-0.019856
2024-09-06,13140.8264,12997.7032,0.008173
2024-09-09,13081.2199,13021.7841,-0.004536
2024-09-10,13161.5643,12962.4231,0.006142
2024-09-11,13319.3893,13202.3856,0.011991
2024-09-12,13429.2152,13298.1461,0.008246
2024-09-13,13396.8058,13236.5453,-0.002413
2024-09-16,13493.587,13320.8267,0.007224
2024-09-17,13458.6431,13250.5463,-0.00259
2024-09-18,13709.3783,13439.5476,0.01863
2024-09-19,13636.0699,13350.2268,-0.005347
2024-09-20,13774.0166,13443.4676,0.010116
2024-09-23,13861.5359,13448.2271,0.006354
2024-09-24,13863.0803,13451.5875,0.000111
