ticker,earnings_date,surprise_pct,revenue_surprise_pct,same_day_return,predicted_return,reaction_gap,underreaction_flag,rev_beat,volume_confirmed,pead_setup_quality,direction,entry_date,sector,drift_window_days,drift_21d,drift_63d,outcome_label_correct,screened_at,regime_risk,regime_growth,regime_composite
TXN,2026-03-31,22.76,,4.141,4.024,-0.117,False,False,False,Low,bullish,2026-04-02,Technology,45,44.142,,True,2026-05-13T12:47:31.440408,Neutral,Slowdown,Neutral_Neutral_Slowdown
CAT,2026-03-31,19.3,,6.147,4.038,-2.109,False,False,False,Low,bullish,2026-04-02,Industrials,30,22.2,,True,2026-05-13T12:47:34.052542,Neutral,Slowdown,Neutral_Neutral_Slowdown
SPOT,2026-03-31,17.99,,2.086,-0.569,-2.655,False,False,False,Low,bullish,2026-04-02,Communication,30,-10.371,,False,2026-05-13T12:47:31.775738,Neutral,Slowdown,Neutral_Neutral_Slowdown
TSLA,2026-03-31,17.15,,4.636,2.163,-2.473,False,False,False,Low,bullish,2026-04-02,Technology,45,8.852,,True,2026-05-13T12:47:30.932905,Neutral,Slowdown,Neutral_Neutral_Slowdown
RTX,2026-03-31,16.95,,3.072,2.23,-0.842,False,False,False,Low,bullish,2026-04-02,Industrials,30,-11.88,,False,2026-05-13T12:47:34.201429,Neutral,Slowdown,Neutral_Neutral_Slowdown
GE,2026-03-31,16.31,,3.85,2.951,-0.899,False,False,False,Low,bullish,2026-04-02,Industrials,30,-0.228,,False,2026-05-13T12:47:34.506135,Neutral,Slowdown,Neutral_Neutral_Slowdown
SBUX,2026-03-31,14.51,,3.309,2.186,-1.123,False,False,False,Low,bullish,2026-04-02,Consumer Staples,21,16.156,,True,2026-05-13T12:47:33.743724,Neutral,Slowdown,Neutral_Neutral_Slowdown
MS,2026-03-31,13.66,,3.915,0.623,-3.292,False,False,False,Low,bullish,2026-04-02,Financials,21,13.998,,True,2026-05-13T12:47:32.465237,Neutral,Slowdown,Neutral_Neutral_Slowdown
NDX1.DE,2026-03-31,12.28,,4.306,,,False,False,True,Low,bullish,2026-04-02,Energy,14,5.309,,True,2026-05-13T12:47:34.877769,Neutral,Slowdown,Neutral_Neutral_Slowdown
ARGX.BR,2026-03-31,11.98,,1.272,,,False,False,False,Low,bullish,2026-04-02,Healthcare,30,6.366,,True,2026-05-13T12:47:34.956147,Neutral,Slowdown,Neutral_Neutral_Slowdown
UNH,2026-03-31,9.52,,3.361,1.871,-1.49,False,False,False,Low,bullish,2026-04-02,Healthcare,30,33.719,,True,2026-05-13T12:47:32.735183,Neutral,Slowdown,Neutral_Neutral_Slowdown
BAC,2026-03-31,8.78,,3.218,0.362,-2.856,False,False,False,Low,bullish,2026-04-02,Financials,21,5.691,,True,2026-05-13T12:47:32.233738,Neutral,Slowdown,Neutral_Neutral_Slowdown
SHOP,2026-03-31,8.56,,6.129,,,False,False,False,Low,bullish,2026-04-02,Technology,45,7.865,,True,2026-05-13T12:47:31.854969,Neutral,Slowdown,Neutral_Neutral_Slowdown
FSLR,2026-03-31,8.26,,6.8,,,False,False,False,Low,bullish,2026-04-02,Energy,14,8.228,,True,2026-05-13T12:47:34.736479,Neutral,Slowdown,Neutral_Neutral_Slowdown
AMGN,2026-03-31,8.04,,0.817,0.802,-0.015,False,False,False,Low,bullish,2026-04-02,Healthcare,30,-6.924,,False,2026-05-13T12:47:33.277851,Neutral,Slowdown,Neutral_Neutral_Slowdown
ASML.AS,2026-03-31,7.99,,0.647,,,False,False,False,Low,bullish,2026-04-02,Technology,45,12.652,,True,2026-05-13T12:47:35.066184,Neutral,Slowdown,Neutral_Neutral_Slowdown
JPM,2026-03-31,7.78,,3.661,1.592,-2.069,False,False,False,Low,bullish,2026-04-02,Financials,21,4.964,,True,2026-05-13T12:47:32.107749,Neutral,Slowdown,Neutral_Neutral_Slowdown
AXP,2026-03-31,7.18,,1.677,0.824,-0.853,False,False,False,Low,bullish,2026-04-02,Financials,21,6.34,,True,2026-05-13T12:47:32.622454,Neutral,Slowdown,Neutral_Neutral_Slowdown
GS,2026-03-31,7.06,,4.754,3.127,-1.627,False,False,False,Low,bullish,2026-04-02,Financials,21,4.661,,True,2026-05-13T12:47:32.345257,Neutral,Slowdown,Neutral_Neutral_Slowdown
V,2026-03-31,6.79,,0.901,1.44,0.539,False,False,False,Low,bullish,2026-04-02,Financials,21,8.66,,True,2026-05-13T12:47:31.977134,Neutral,Slowdown,Neutral_Neutral_Slowdown
GILD,2026-03-31,6.24,,2.222,0.228,-1.994,False,False,False,Low,bullish,2026-04-02,Healthcare,30,-5.025,,False,2026-05-13T12:47:33.374302,Neutral,Slowdown,Neutral_Neutral_Slowdown
KO,2026-03-31,5.88,,-0.288,0.136,0.424,False,False,False,Low,bullish,2026-04-02,Consumer Staples,21,1.916,,True,2026-05-13T12:47:33.539199,Neutral,Slowdown,Neutral_Neutral_Slowdown
AMD,2026-03-31,5.82,,3.77,0.539,-3.231,False,False,False,Low,bullish,2026-04-02,Technology,45,57.03,,True,2026-05-13T12:47:31.088166,Neutral,Slowdown,Neutral_Neutral_Slowdown
ORCL,2026-02-28,5.69,,2.648,0.787,-1.861,False,False,False,Low,bullish,2026-03-04,Technology,45,-3.931,,False,2026-05-13T12:47:31.542121,Neutral,Expansion,Neutral_Neutral_Expansion
PYPL,2026-03-31,5.59,,1.254,-0.73,-1.984,False,False,False,Low,bullish,2026-04-02,Financials,21,11.138,,True,2026-05-13T12:47:31.701954,Neutral,Slowdown,Neutral_Neutral_Slowdown
HON,2026-03-31,5.55,,1.141,0.726,-0.415,False,False,False,Low,bullish,2026-04-02,Industrials,30,-8.655,,False,2026-05-13T12:47:34.652398,Neutral,Slowdown,Neutral_Neutral_Slowdown
MSF.DE,2026-03-31,5.22,,-0.047,-1.137,-1.09,False,False,False,Low,bullish,2026-04-02,Technology,45,9.605,,True,2026-05-13T12:47:30.592498,Neutral,Slowdown,Neutral_Neutral_Slowdown
MSFT,2026-03-31,5.22,,3.123,,,False,False,False,Low,bullish,2026-04-02,Technology,45,10.753,,True,2026-05-13T12:47:31.000853,Neutral,Slowdown,Neutral_Neutral_Slowdown
UBER,2026-03-31,-81.78,,2.889,,,False,,False,Low,bearish,2026-04-02,Technology,45,2.909,,False,2026-05-13T12:47:31.620981,Neutral,Slowdown,Neutral_Neutral_Slowdown
